City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,markovo,57.3206,107.0881,45.9,94,100,6.8,RU,1694031458
273,lodja,-3.4833,23.4333,70.9,89,15,1.61,CD,1694031458
274,mogocha,53.7333,119.7667,49.53,99,100,3.53,RU,1694031460
275,al khums,32.6486,14.2619,77.23,69,1,17.09,LY,1694031460
276,timimoun,29.2639,0.231,102.58,15,0,3.44,DZ,1694031460
277,san jose del guaviare,2.5729,-72.6459,89.74,54,67,0.92,CO,1694031460
278,lagos de moreno,21.35,-101.9167,85.28,34,100,5.86,MX,1694031365
279,bikenibeu village,1.3673,173.1241,85.96,74,20,11.5,KI,1694031461
280,heunghae,36.1125,129.3522,68.67,82,0,11.3,KR,1694031462
281,maragogi,-9.0122,-35.2225,76.21,79,43,9.86,BR,1694031462
282,recani,31.2846,-4.2688,92.48,19,94,21.25,MA,1694031462
283,saipan,15.1355,145.701,79.5,89,75,4.61,MP,1694031462
284,mimizan,44.2006,-1.2289,77.9,59,6,4.88,FR,1694031462
285,wolmaransstad,-27.1974,25.9831,46.83,13,53,4.56,ZA,1694031462
286,hafar al-batin,28.4328,45.9708,97.38,16,0,6.91,SA,1694031463
287,chilecito,-29.1619,-67.4974,69.73,31,18,8.68,AR,1694031463
288,ad dabbah,18.05,30.95,100.08,12,68,6.91,SD,1694031463
289,katsuren-haebaru,26.3369,127.8719,81.37,86,75,4.61,JP,1694031463
290,dubinino,55.6192,89.0911,51.51,74,100,4.56,RU,1694031463
291,bismarck,46.8083,-100.7837,68.86,54,0,5.75,US,1694031452
292,nar'yan-mar,67.6713,53.087,52.12,96,100,4.38,RU,1694031464
293,klyuchi,52.2667,79.1667,52.43,70,100,6.76,RU,1694031464
294,mckinleyville,40.9465,-124.1006,81.34,76,0,8.05,US,1694031464
295,hilo,19.7297,-155.09,83.95,71,40,6.91,US,1694031464
296,broken hill,-31.95,141.4333,59.52,24,44,17.6,AU,1694031464
297,kharp,66.8014,65.8081,49.12,78,94,2.89,RU,1694031464
298,raeren,50.6677,6.1168,72.43,75,8,5.84,BE,1694031465
299,gimbi,9.1667,35.8333,54.61,95,100,2.55,ET,1694031465
300,sungailiat,-1.85,106.1333,77.77,86,100,6.35,ID,1694031465
301,vila velha,-20.3297,-40.2925,71.94,88,75,13.0,BR,1694031185
302,invercargill,-46.4,168.35,51.03,88,100,11.99,NZ,1694031465
303,jagtial,18.8,78.9333,75.96,93,100,8.5,IN,1694031465
304,chui,-33.6971,-53.4616,54.39,72,96,15.35,UY,1694031465
305,ust-tsilma,65.441,52.1498,55.36,91,100,5.3,RU,1694031466
306,mili,6.0815,171.735,83.75,74,18,11.92,MH,1694031325
307,lihue,21.9789,-159.3672,83.44,71,40,9.22,US,1694031466
308,alofi,-19.0595,-169.9187,73.29,94,75,5.75,NU,1694031466
309,nyrob,60.733,56.7202,53.76,93,97,6.96,RU,1694031466
310,yigo village,13.5361,144.8886,78.12,91,0,6.91,GU,1694031467
311,funafuti,-8.5243,179.1942,84.2,94,75,21.7,TV,1694031467
312,svatove,49.4103,38.1503,62.44,47,1,6.46,UA,1694031467
313,katsuura,35.1333,140.3,75.0,88,83,9.64,JP,1694031468
314,wielen,52.8946,16.1714,67.51,57,7,3.06,PL,1694031468
315,polyarnyy,69.1989,33.4478,45.91,84,83,16.93,RU,1694031469
316,kirkland lake,48.1446,-80.0377,70.09,94,100,1.14,CA,1694031469
317,shenjiamen,29.9576,122.298,78.1,85,2,8.61,CN,1694031469
318,taulaga,-11.0553,-171.0883,80.89,81,35,15.88,AS,1694031470
319,lere,10.387,8.5726,78.03,68,100,0.54,NG,1694031470
320,laayoune,27.1622,-13.2032,77.34,47,89,16.11,EH,1694031470
321,neryungri,56.6709,124.6491,45.01,90,100,1.7,RU,1694031470
322,namibe,-15.1961,12.1522,64.62,90,99,4.65,AO,1694031470
323,callao,-12.0667,-77.15,75.72,73,100,12.66,PE,1694031470
324,tari,12.4086,4.4914,83.84,64,10,9.17,NG,1694031470
325,acapulco de juarez,16.8634,-99.8901,89.42,62,40,4.61,MX,1694031267
326,walvis bay,-22.9575,14.5053,55.09,73,64,2.66,NA,1694031471
327,remire-montjoly,4.9167,-52.2667,89.64,51,0,9.22,GF,1694031471
328,meizhou,24.2977,116.1072,76.19,99,100,2.15,CN,1694031471
329,cidreira,-30.1811,-50.2056,61.21,81,42,19.8,BR,1694031471
330,livingston,55.9029,-3.5226,63.1,90,20,4.61,GB,1694031471
331,parambu,-6.2111,-40.6944,90.86,15,11,8.08,BR,1694031471
332,igarka,67.4667,86.5833,41.09,65,23,6.55,RU,1694031472
333,hasaki,35.7333,140.8333,76.3,80,55,9.48,JP,1694031472
334,comandante fontana,-25.3345,-59.6821,88.93,36,100,10.02,AR,1694031472
335,kijang,35.2442,129.2139,71.33,75,0,13.76,KR,1694031473
336,pedra branca,-5.4542,-39.7172,88.93,22,48,7.14,BR,1694031473
337,happy valley-goose bay,53.3168,-60.3315,89.91,29,20,11.5,CA,1694031473
338,pisco,-13.7,-76.2167,71.65,64,0,14.97,PE,1694031474
339,namtsy,62.7161,129.6658,37.83,60,99,8.7,RU,1694031474
340,nampula,-15.1165,39.2666,69.75,83,40,6.91,MZ,1694031475
341,norfolk county,42.1668,-71.2495,92.55,64,20,4.61,US,1694031397
342,island harbour,50.724,-1.2758,72.3,87,100,1.12,GB,1694031475
343,eydhafushi,5.1033,73.0708,81.23,79,98,12.1,MV,1694031475
344,i-n-salah,27.1935,2.4607,102.33,14,17,11.48,DZ,1694031476
345,queenstown,-31.8976,26.8753,48.43,19,27,2.53,ZA,1694031476
346,nueva gerona,21.8833,-82.8,87.21,64,46,4.72,CU,1694031477
347,outokumpu,62.7269,29.0159,49.89,83,7,6.24,FI,1694031477
348,tabou,4.423,-7.3528,76.73,86,99,6.87,CI,1694031477
349,parral,26.9333,-105.6667,91.71,16,6,15.68,MX,1694031256
350,zahedan,29.4963,60.8629,66.11,15,0,6.91,IR,1694031456
351,susuman,62.7833,148.1667,42.35,76,100,3.44,RU,1694031478
352,nanzhang chengguanzhen,31.7839,111.8275,73.17,87,1,4.74,CN,1694031478
353,mandera,3.9366,41.867,84.65,50,1,24.7,KE,1694031478
354,flying fish cove,-10.4217,105.6791,74.88,83,100,11.5,CX,1694031324
355,vargem grande do sul,-21.8322,-46.8936,79.25,56,81,4.05,BR,1694031479
356,nikolayevsk-on-amure,53.1406,140.73,46.71,87,0,5.37,RU,1694031479
357,kialla,-36.4161,145.3954,43.75,77,19,13.65,AU,1694031479
358,alo,7.4178,6.7371,78.89,83,62,2.06,NG,1694031480
359,ballina,-28.8667,153.5667,55.78,90,2,5.23,AU,1694031480
360,muhos,64.808,25.9931,51.58,85,21,4.41,FI,1694031480
361,pacific grove,36.6177,-121.9166,72.41,71,0,12.66,US,1694031481
362,pitimbu,-7.4706,-34.8086,81.19,77,28,12.64,BR,1694031481
363,mersing,2.4312,103.8405,75.11,94,20,6.91,MY,1694031439
364,acarau,-2.8856,-40.12,81.09,66,15,20.78,BR,1694031482
365,amarante do maranhao,-5.5667,-46.7422,96.42,22,96,4.74,BR,1694031483
366,qarah bagh,34.9402,61.7759,65.95,19,0,6.42,AF,1694031484
367,kingsland,30.8,-81.6898,95.94,47,9,1.57,US,1694031243
368,afaahiti,-17.75,-149.2833,73.27,87,65,17.22,PF,1694031485
369,jianshui,23.6363,102.8264,65.12,93,16,3.02,CN,1694031485
370,veshenskaya,49.6303,41.7334,66.2,42,56,8.7,RU,1694031485
371,manokwari,-0.8667,134.0833,77.07,84,100,3.67,ID,1694031485
372,amga,60.8953,131.9608,37.51,91,86,2.13,RU,1694031486
373,kedougou,12.5579,-12.1743,76.41,93,100,3.53,SN,1694031486
374,kuusamo,65.9667,29.1833,42.84,87,0,2.3,FI,1694031486
375,neiafu,-18.65,-173.9833,74.08,78,20,6.91,TO,1694031486
376,fortaleza,-3.7227,-38.5247,82.53,69,0,17.27,BR,1694031486
377,kidal,18.4411,1.4078,88.54,38,79,9.13,ML,1694031486
378,benguela,-12.5763,13.4055,72.07,82,9,1.83,AO,1694031486
379,sinabang,2.4803,96.3801,79.25,83,100,8.99,ID,1694031487
380,minas de marcona,-15.2119,-75.1103,63.09,63,4,18.05,PE,1694031487
381,charlestown,-32.95,151.6667,57.85,89,0,1.99,AU,1694031487
382,najran,17.4924,44.1277,90.25,23,87,3.18,SA,1694031487
383,pokrovsk,48.282,37.1758,63.79,44,94,8.1,UA,1694031487
384,mossel bay,-34.1831,22.146,56.16,76,8,6.62,ZA,1694031488
385,glenwood,41.5425,-87.6023,81.91,51,100,14.97,US,1694031488
386,konstantinovka,49.6167,127.9833,59.02,92,99,7.76,RU,1694031488
387,dombarovskiy,50.7587,59.5386,61.92,57,80,5.86,RU,1694031488
388,santana,-0.0583,-51.1817,89.78,58,20,13.8,BR,1694031488
389,mejit,10.2753,170.8646,82.74,76,100,8.43,MH,1694031488
390,lake wales,27.9014,-81.5859,94.98,48,0,5.75,US,1694031488
391,zaragoza,41.6561,-0.8773,82.02,41,0,5.75,ES,1694031305
392,boppard,50.2308,7.5899,74.55,71,39,2.89,DE,1694031489
393,salym,60.0625,71.4789,49.32,75,99,4.25,RU,1694031489
394,amahai,-3.3333,128.9167,74.57,88,44,5.06,ID,1694031489
395,moravsky krumlov,49.0489,16.3117,69.62,70,0,4.61,CZ,1694031489
396,marco,25.9726,-81.729,93.06,57,20,10.83,US,1694031346
397,tazovsky,67.4667,78.7,40.8,70,46,6.96,RU,1694031489
398,uyuni,-20.4597,-66.825,57.67,7,60,13.78,BO,1694031490
399,kununurra,-15.7667,128.7333,66.18,82,21,0.0,AU,1694031490
400,inda silase,14.1031,38.2829,62.92,88,99,3.47,ET,1694031490
401,kecel,46.5253,19.2519,66.52,44,0,7.81,HU,1694031490
402,kruisfontein,-34.0033,24.7314,50.13,71,56,7.83,ZA,1694031490
403,san matias,-16.3667,-58.4,91.87,39,92,8.03,BO,1694031490
404,tarakan,3.3,117.6333,80.22,78,100,2.3,ID,1694031491
405,alesund,62.4723,6.1549,55.76,90,0,5.75,NO,1694031401
406,stephenville,32.2207,-98.2023,102.76,31,0,5.75,US,1694031491
407,nanping,26.645,118.1736,73.8,99,100,1.48,CN,1694031491
408,shira,54.4911,89.9531,49.19,67,100,2.48,RU,1694031491
409,qianzhou,28.3167,109.7167,75.02,91,75,2.75,CN,1694031446
410,leticia,-4.2153,-69.9406,91.45,58,20,6.91,CO,1694031491
411,siuna,13.7332,-84.7773,93.38,46,37,6.04,NI,1694031492
412,al mayadin,35.0209,40.4535,91.02,13,0,8.21,SY,1694031492
413,karratha,-20.7377,116.8463,67.75,71,71,4.09,AU,1694031248
414,inarajan village,13.2736,144.7484,79.77,97,83,0.72,GU,1694031492
415,onega,63.9061,38.1404,46.54,91,33,7.47,RU,1694031492
416,trapani,37.8333,12.6667,75.29,88,20,10.36,IT,1694031492
417,saint-philippe,-21.3585,55.7679,69.39,73,21,6.11,RE,1694031492
418,luderitz,-26.6481,15.1594,59.05,56,68,14.03,NA,1694031493
419,wamba,8.9333,8.6,75.25,89,20,1.19,NG,1694031493
420,mont-dore,-22.2833,166.5833,66.18,77,90,9.62,NC,1694031493
421,lagos,6.5833,3.75,79.12,91,84,5.17,NG,1694031235
422,chernyshevskiy,63.0128,112.4714,25.83,83,9,3.29,RU,1694031493
423,hirtshals,57.5881,9.9592,61.56,90,98,7.45,DK,1694031493
424,la libertad,-2.2333,-80.9,78.46,78,75,10.36,EC,1694031494
425,wuhai,39.6647,106.8122,71.58,46,87,10.6,CN,1694031494
426,canutama,-6.5339,-64.3831,106.5,14,36,2.82,BR,1694031494
427,cestos city,5.46,-9.5828,78.01,82,85,8.34,LR,1694031494
428,douglas,41.3,-96.167,76.08,35,0,13.8,US,1694031494
429,masaka,-0.3338,31.7341,65.52,79,18,4.61,UG,1694031371
430,poronaysk,49.2167,143.1167,48.87,83,0,6.46,RU,1694031495
431,yamada,39.4667,141.95,68.54,92,1,6.69,JP,1694031495
432,sarmiento,-45.5882,-69.07,45.66,82,100,1.74,AR,1694031495
433,ar ruways,24.1103,52.7306,90.99,67,4,7.94,AE,1694031495
434,lucapa,-8.4192,20.7447,79.07,47,66,7.81,AO,1694031495
435,fuglafjordur,62.244,-6.814,57.67,96,100,14.16,FO,1694031495
436,jiuquan,39.7432,98.5174,60.78,53,100,1.5,CN,1694031495
437,motygino,58.1831,94.7592,49.77,85,99,3.27,RU,1694031496
438,roma,43.2128,-75.4557,89.96,58,0,9.22,US,1694031496
439,rawson,-43.3002,-65.1023,45.81,87,100,25.99,AR,1694031496
440,sheridan,44.8333,-106.9173,82.02,35,0,3.44,US,1694031496
441,dunedin,-45.8742,170.5036,54.34,64,100,18.41,NZ,1694031265
442,labytnangi,66.6572,66.4183,48.81,71,76,3.06,RU,1694031496
443,kwang binh,17.4833,106.6,79.45,88,100,5.44,VN,1694031496
444,alajarvi,63.0,23.8167,45.68,89,13,4.56,FI,1694031497
445,bathsheba,13.2167,-59.5167,88.41,74,40,14.97,BB,1694031497
446,illizi,26.4833,8.4667,94.8,20,0,12.37,DZ,1694031497
447,harper,4.375,-7.7169,77.13,85,100,7.87,LR,1694031280
448,hami,42.8,93.45,68.67,35,0,8.34,CN,1694031497
449,akureyri,65.6835,-18.0878,57.13,58,0,13.8,IS,1694031497
450,kalabo,-14.97,22.6814,74.12,22,0,2.62,ZM,1694031498
451,bodaybo,57.8506,114.1933,47.17,76,100,3.22,RU,1694031498
452,pointe aux piments,-20.0628,57.5131,71.53,72,11,9.15,MU,1694031498
453,cole harbour,44.6724,-63.4751,70.99,94,75,14.97,CA,1694031498
454,usogorsk,63.4106,48.6872,49.06,94,100,8.72,RU,1694031498
455,ostroleka,53.0862,21.5757,64.04,72,14,5.1,PL,1694031498
456,thunder bay,48.4001,-89.3168,53.58,94,100,10.36,CA,1694031216
457,trinidad,-14.8333,-64.9,91.38,52,40,3.44,BO,1694031499
458,gemena,3.25,19.7667,73.08,92,11,1.52,CD,1694031499
459,daru,-9.0763,143.2092,76.55,92,64,12.71,PG,1694031499
460,santa ana,33.7456,-117.8678,87.71,55,20,6.91,US,1694031473
461,olyokminsk,60.3736,120.4264,28.17,91,8,0.22,RU,1694031499
462,puerto lempira,15.2667,-83.7667,89.74,66,20,8.05,HN,1694031500
463,lusaka,-15.4067,28.2871,70.43,29,0,4.99,ZM,1694031500
464,el charco,2.4769,-78.1105,85.23,73,60,9.48,CO,1694031500
465,suva,-18.1416,178.4415,76.48,65,40,8.05,FJ,1694031500
466,swift current,50.2834,-107.8014,74.21,33,0,5.75,CA,1694031248
467,kilifi,-3.6305,39.8499,75.33,88,36,11.86,KE,1694031500
468,korla,41.7597,86.1469,71.76,24,0,14.45,CN,1694031501
469,labrador city,52.9463,-66.9114,84.11,42,40,10.36,CA,1694031501
470,bengbu,32.9408,117.3608,70.99,95,0,5.82,CN,1694031379
471,ubari,26.5921,12.7805,86.05,23,0,8.39,LY,1694031501
472,olinda,-8.0089,-34.8553,80.33,74,75,9.22,BR,1694031203
473,birjand,32.8663,59.2211,72.07,16,0,13.8,IR,1694031501
474,male,4.1748,73.5089,82.35,89,75,6.91,MV,1694031501
475,klaksvik,62.2266,-6.589,58.12,98,100,15.5,FO,1694031502
476,la'ie,21.6477,-157.9253,85.96,71,91,7.0,US,1694031502
477,kalymnos,36.95,26.9833,80.13,78,20,6.91,GR,1694031502
478,cortland,42.6001,-76.083,90.36,57,40,4.61,US,1694031502
479,howrah,22.5892,88.3103,82.4,89,75,4.61,IN,1694031502
480,rikaze,29.25,88.8833,53.62,52,10,4.97,CN,1694031502
481,salinas,36.6777,-121.6555,78.57,63,0,12.66,US,1694031503
482,puerto baquerizo moreno,-0.9,-89.6,81.59,65,20,13.8,EC,1694031503
483,ambalangoda,6.2355,80.0538,78.04,90,100,8.34,LK,1694031503
484,fukumitsu,36.55,136.8667,72.34,99,97,3.36,JP,1694031503
485,nadi,-17.8,177.4167,75.2,69,40,6.91,FJ,1694031503
486,fort riley north,39.1108,-96.8139,85.3,25,0,9.22,US,1694031506
487,tagiura,32.8817,13.3506,79.11,62,0,12.17,LY,1694031506
488,taiynsha,53.8478,69.7639,46.54,85,15,8.16,KZ,1694031507
489,wucheng,29.6008,118.175,72.37,95,1,2.84,CN,1694031507
490,colonel hill,22.7667,-74.2167,83.95,74,83,10.0,BS,1694031507
491,marion,39.7684,-86.1555,85.55,68,75,17.27,US,1694031508
492,isla del bosque,22.7333,-105.85,88.47,65,67,10.27,MX,1694031508
493,jacobabad,28.281,68.4388,88.3,36,0,7.96,PK,1694031508
494,grants,35.1473,-107.8514,89.83,13,0,14.97,US,1694031429
495,mexico,15.0646,120.7198,78.51,92,93,3.13,PH,1694031508
496,marvejols,44.5538,3.2914,62.58,61,0,1.79,FR,1694031509
497,revelstoke,50.9832,-118.2023,66.22,68,0,9.22,CA,1694031446
498,verkhnevilyuysk,63.4453,120.3167,25.93,96,19,4.83,RU,1694031509
499,port-vila,-17.7338,168.3219,73.0,73,75,12.66,VU,1694031509
500,atoyatempan,18.8167,-97.9167,79.59,38,36,6.38,MX,1694031509
501,svetlyy,54.675,20.1347,62.96,90,9,6.26,RU,1694031509
502,quellon,-43.1167,-73.6167,48.45,87,100,14.97,CL,1694031509
503,rayachoti,14.05,78.75,80.53,65,100,10.02,IN,1694031510
504,de aar,-30.6497,24.0123,51.6,18,1,6.87,ZA,1694031510
505,konosha,60.9736,40.257,46.94,75,90,9.69,RU,1694031510
506,williams lake,52.1415,-122.1445,62.06,65,37,3.0,CA,1694031510
507,murray bridge,-35.1167,139.2667,54.34,57,27,4.99,AU,1694031510
508,bastia,42.6667,9.3333,77.02,58,0,4.61,FR,1694031510
509,alaghsas,17.0187,8.0168,90.79,31,8,14.97,NE,1694031511
510,trairi,-3.2778,-39.2689,80.47,68,23,15.17,BR,1694031511
511,mount gambier,-37.8333,140.7667,55.31,47,100,6.93,AU,1694031511
512,vanimo,-2.6741,141.3028,76.75,91,31,4.94,PG,1694031511
513,palpa,-14.5336,-75.1856,83.23,38,5,9.95,PE,1694031511
514,caruthersville,36.1931,-89.6556,89.58,40,58,13.49,US,1694031511
515,fruita,39.1589,-108.729,92.55,19,0,5.75,US,1694031397
516,shetpe,44.1667,52.1167,74.75,34,76,4.92,KZ,1694031512
517,belyy yar,53.6039,91.3903,53.49,94,40,6.71,RU,1694031512
518,san rafael,-34.6177,-68.3301,59.86,54,93,8.43,AR,1694031512
519,portland,45.5234,-122.6762,76.8,52,20,5.75,US,1694031244
520,mizan teferi,6.9833,35.5833,60.55,98,41,1.28,ET,1694031512
521,birzebbuga,35.8258,14.5269,76.15,78,20,18.41,MT,1694031513
522,fort st. john,56.2499,-120.8529,58.89,47,75,6.91,CA,1694031362
523,ivdel',60.6911,60.4206,47.53,89,6,1.59,RU,1694031513
524,kuanda,56.3161,116.0806,52.95,65,100,1.19,RU,1694031513
525,aberdeen,57.1437,-2.0981,61.29,94,72,8.05,GB,1694031257
526,guadix,37.2993,-3.1392,74.12,58,98,1.61,ES,1694031513
527,shiyan,32.6475,110.7781,70.63,92,27,0.92,CN,1694031513
528,castillos,-34.1667,-53.8333,53.53,70,100,14.58,UY,1694031514
529,beira,-19.8436,34.8389,71.69,100,40,5.75,MZ,1694031514
530,tadine,-21.55,167.8833,67.41,70,45,14.12,NC,1694031514
531,haiku-pauwela,20.9219,-156.3051,84.22,59,20,20.71,US,1694031514
532,chonchi,-42.6128,-73.8092,47.41,96,100,6.91,CL,1694031514
533,ola,59.5833,151.2833,44.15,82,100,26.44,RU,1694031514
534,birao,10.2849,22.7882,72.0,91,80,13.71,CF,1694031515
535,zeya,53.75,127.2667,51.13,97,100,4.72,RU,1694031515
536,ovejas,9.5325,-75.2238,92.03,55,22,4.52,CO,1694031515
537,thinadhoo,0.5333,72.9333,82.36,74,100,7.9,MV,1694031515
538,cadale,2.7603,46.3222,77.56,88,5,16.33,SO,1694031515
539,al bardiyah,31.7561,25.0865,83.23,67,0,18.97,LY,1694031515
540,lazaro cardenas,17.9583,-102.2,86.54,63,90,8.43,MX,1694031401
541,port augusta,-32.5,137.7667,55.74,81,54,13.98,AU,1694031516
542,maintirano,-18.0667,44.0167,76.12,68,31,6.44,MG,1694031516
543,parkes,-33.1333,148.1833,47.26,39,0,7.63,AU,1694031516
544,revda,56.801,59.9303,45.72,80,0,2.95,RU,1694031516
545,galle,6.0367,80.217,78.76,88,100,9.66,LK,1694031516
546,sumbawa besar,-8.5,117.4333,67.87,93,7,4.88,ID,1694031517
